cluster_id,topic_label,mechanism,global_OR,global_q,p1_obs,p1_exp,p1_OR,p1_p,p2_obs,p2_exp,p2_OR,p2_p,p3_obs,p3_exp,p3_OR,p3_p,p1_q,p1_sig,p2_q,p2_sig,p3_q,p3_sig,trajectory
30,cyp inhibition / cyp enzymes / cyp isoforms,synergistic_efficacy,0.0,4.531034278836057e-24,0,15.97,0.0,4.143581979481875e-09,0,17.69,0.0,3.733837198570924e-10,0,12.42,0.0,6.745771032811922e-07,4.1435819794818746e-08,True,2.489224799047283e-09,True,4.497180688541281e-06,True,STABLE
30,cyp inhibition / cyp enzymes / cyp isoforms,absorption_alteration,0.0,1.9498868064286255e-10,0,3.74,0.0,0.028293235026511883,0,12.63,0.0,1.975774162622283e-07,0,5.81,0.0,0.002872125532084949,0.03772431336868251,True,7.903096650489132e-07,True,0.00820607294881414,True,STABLE
30,cyp inhibition / cyp enzymes / cyp isoforms,receptor_synergism,0.0113901003514417,1.8227837104094758e-26,1,16.47,0.038822115384615385,6.213381216588404e-08,0,23.37,0.0,1.522735954478394e-13,0,14.03,0.0,7.182010935229356e-08,3.106690608294202e-07,True,1.522735954478394e-12,True,7.182010935229356e-07,True,STABLE
23,antimicrobial / antibiotics / antibacterial,CYP_inhibition,0.0,4.561887140299474e-09,0,8.11,0.0,9.210159400932937e-05,0,5.24,0.0,0.0018676409746423571,0,4.64,0.0,0.004745411209738495,0.0003684063760373175,True,0.0033957108629861037,True,0.011863528024346238,True,STABLE
11,anticancer / chemotherapy / cancer,CYP_induction,0.0173029387530898,6.377578759001099e-18,1,17.56,0.03679117911791179,1.6781228863118738e-08,0,14.96,0.0,4.018985384751723e-08,0,8.01,0.0,0.00015028840402213627,1.1187485908745826e-07,True,2.0094926923758616e-07,True,0.0006011536160885451,True,STABLE
35,pharmacokinetic parameters / pharmacokinetic / oral adm,CYP_inhibition,0.0,1.2757657433425648e-05,0,3.44,0.0,0.02657977584460168,0,6.64,0.0,0.0003383137394514978,0,2.03,0.0,0.2015653297142631,0.03772431336868251,True,0.0006766274789029956,True,0.3101005072527125,False,FADING
11,anticancer / chemotherapy / cancer,UGT_inhibition,0.0,5.6852572206711074e-06,0,4.93,0.0,0.0075464487285888185,0,7.98,0.0,0.00014793129742447748,0,1.04,0.0,0.5964109528788373,0.013287491085392676,True,0.0003287362164988388,True,0.6108548408152289,False,FADING
11,anticancer / chemotherapy / cancer,CYP_inhibition,0.0262925960759261,1.865966837447852e-47,0,25.06,0.0,8.878737978038422e-15,4,47.86,0.040015292468459286,3.185010501738748e-23,1,26.99,0.020256916996047432,3.405998374716396e-14,1.7757475956076843e-13,True,6.3700210034774955e-22,True,6.811996749432791e-13,True,STABLE
30,cyp inhibition / cyp enzymes / cyp isoforms,additive_toxicity,0.0,0.0002291415330843,0,4.99,0.0,0.006073871693082596,0,2.53,0.0,0.06141653935130196,0,2.0,0.0,0.22414031924527905,0.012147743386165193,True,0.0772946533627672,False,0.3165992007909142,False,DECLINING
24,inhibition ugt / inhibited ugt / ugt isoforms,synergistic_efficacy,0.0,0.0003781575458293,0,4.21,0.0,0.014418875674004052,0,4.08,0.0,0.026805811052584737,0,1.86,0.0,0.23744940059318564,0.022182885652313925,True,0.03829401578940677,True,0.3165992007909142,False,FADING
30,cyp inhibition / cyp enzymes / cyp isoforms,organ_toxicity_modulation,0.0304648560675414,1.9173618040993403e-09,0,4.99,0.0,0.006073871693082596,1,7.26,0.09427609427609428,0.0024164254260904214,0,9.02,0.0,4.715030502662446e-05,0.012147743386165193,True,0.004027375710150703,True,0.00023575152513312232,True,STABLE
30,cyp inhibition / cyp enzymes / cyp isoforms,signaling_pathway_modulation,0.0347086541776807,3.2115434109532794e-08,0,1.75,0.0,0.20103882233124343,0,8.84,0.0,3.0148189816535428e-05,1,8.62,0.08647798742138364,0.0010725118530135762,0.23651626156616876,False,8.613768519010122e-05,True,0.003575039510045254,True,RISING
23,antimicrobial / antibiotics / antibacterial,CYP_induction,0.0,0.0041365097992548,0,5.68,0.0,0.003046217795456545,0,1.64,0.0,0.3922289718192824,0,1.38,0.0,0.38312996379948866,0.00870347941559013,True,0.3922289718192824,False,0.45074113388175135,False,DECLINING
28,medicinal plants / anxiolytic / antiepileptic drugs,CYP_inhibition,0.0438447931955891,5.171381828646692e-06,0,6.88,0.0,0.00044144690157159946,0,4.54,0.0,0.005786434235479981,1,3.19,0.2396103896103896,0.189631209327773,0.0014714896719053316,True,0.008902206516123048,True,0.3101005072527125,False,FADING
28,medicinal plants / anxiolytic / antiepileptic drugs,CYP_induction,0.0,0.0206029856553946,0,4.82,0.0,0.007972494651235605,0,1.42,0.0,0.3801245410855226,0,0.95,0.0,0.6108548408152289,0.013287491085392676,True,0.3922289718192824,False,0.6108548408152289,False,DECLINING
32,drug transporters / transporter-mediated / anion transp,CYP_inhibition,0.0477396169396006,2.1396117429115886e-05,0,2.46,0.0,0.12916913364584623,1,9.43,0.06775024139040875,0.0001398526993422221,0,3.19,0.0,0.03899064087782968,0.16146141705730777,False,0.0003287362164988388,True,0.07798128175565935,False,TRANSIENT_MIDDLE
32,drug transporters / transporter-mediated / anion transp,receptor_synergism,0.0,0.0296914986092232,0,1.28,0.0,0.6238371123808345,0,2.91,0.0,0.10304439094229348,0,1.44,0.0,0.37423309724351744,0.6566706446114048,False,0.11449376771365942,False,0.45074113388175135,False,WEAK_NONE
32,drug transporters / transporter-mediated / anion transp,CYP_induction,0.0,0.0296914986092232,0,1.72,0.0,0.22356559859634711,0,2.95,0.0,0.06183572269021376,0,0.95,0.0,0.6108548408152289,0.2484062206626079,False,0.0772946533627672,False,0.6108548408152289,False,WEAK_NONE
30,cyp inhibition / cyp enzymes / cyp isoforms,transporter_modulation,0.0588814979058881,1.1495985195617911e-08,0,4.99,0.0,0.006073871693082596,1,12.32,0.05263157894736842,8.303538353883176e-06,1,6.61,0.1164504716981132,0.006825407804559895,0.012147743386165193,True,2.7678461179610588e-05,True,0.015167572899021988,True,STABLE
17,hepatoprotective / hepatotoxicity / liver injury,absorption_alteration,0.0,0.0343171638328474,0,0.84,0.0,1.0,0,2.56,0.0,0.10109008769566796,0,2.72,0.0,0.0972870032153759,1.0,False,0.11449376771365942,False,0.17688546039159253,False,WEAK_NONE
